Unnamed: 0,date,day,info,output,strategy_result,day1-date,day1-day,day1-high,day1-high-time,day2-date,day2-day,day2-high,day2-high-timestamp,day2-low,day2-low-timestamp,day3-date,day3-day,day3-high,day3-low,day3-low-timestamp,day3-pct-change,pct,100000,pnl_pct
0,2/2/2015,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW > THURSDAY LOW,True,2/2/2015,Monday,8839.9,2015-02-02 14:07:00+05:30,2/4/2015,Wednesday,8791.45,2015-02-04 09:15:00+05:30,8704.8,2015-02-04 15:26:00+05:30,2/5/2015,Thursday,8966.2,8683.95,2015-02-05 15:21:00+05:30,-0.385888173,0.385888173,100385.8882,0.00385888173
1,2/5/2015,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,2/5/2015,Thursday,8838.3,2015-02-05 14:11:00+05:30,2/6/2015,Friday,8725.8,2015-02-06 09:56:00+05:30,8651.4,2015-02-06 15:17:00+05:30,2/9/2015,Monday,8839.9,8516.35,2015-02-09 15:29:00+05:30,-0.770001398,0.770001398,101158.8609,0.00770001398
2,2/19/2015,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,2/19/2015,Thursday,8913.45,2015-02-19 15:20:00+05:30,2/20/2015,Friday,8895.5,2015-02-20 09:15:00+05:30,8821.55,2015-02-20 15:24:00+05:30,2/23/2015,Monday,8869.95,8737.25,2015-02-23 15:27:00+05:30,-1.287703868,1.287703868,102461.4875,0.01287703868
3,2/23/2015,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW > THURSDAY LOW,True,2/23/2015,Monday,8868.9,2015-02-23 09:49:00+05:30,2/25/2015,Wednesday,8840.5,2015-02-25 09:30:00+05:30,8751.65,2015-02-25 14:55:00+05:30,2/26/2015,Thursday,8913.45,8669.85,2015-02-26 15:06:00+05:30,-0.960815583,0.960815583,103445.9534,0.00960815583
4,3/9/2015,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW < THURSDAY LOW,False,3/9/2015,Monday,8877.3,2015-03-09 09:15:00+05:30,3/11/2015,Wednesday,8755.3,2015-03-11 14:26:00+05:30,8685.1,2015-03-11 15:17:00+05:30,3/12/2015,Thursday,8957.35,8733.5,2015-03-12 09:20:00+05:30,0.3518045,-0.3518045,103082.0259,-0.003518045
5,3/19/2015,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,3/19/2015,Thursday,8787.95,2015-03-19 10:09:00+05:30,3/20/2015,Friday,8627.9,2015-03-20 09:15:00+05:30,8553.3,2015-03-20 15:17:00+05:30,3/23/2015,Monday,8660.8,8540.75,2015-03-23 14:51:00+05:30,-0.472557338,0.472557338,103569.1476,0.00472557338
6,3/23/2015,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW > THURSDAY LOW,True,3/23/2015,Monday,8607.9,2015-03-23 09:17:00+05:30,3/25/2015,Wednesday,8573.45,2015-03-25 09:15:00+05:30,8517.0,2015-03-25 15:29:00+05:30,3/26/2015,Thursday,8787.95,8326.35,2015-03-26 15:04:00+05:30,-1.093221789,1.093221789,104701.3881,0.01093221789
7,3/26/2015,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW < MONDAY LOW,False,3/26/2015,Thursday,8498.9,2015-03-26 09:17:00+05:30,3/27/2015,Friday,8411.4,2015-03-27 09:15:00+05:30,8271.85,2015-03-27 12:46:00+05:30,3/30/2015,Monday,8607.9,8381.2,2015-03-30 09:24:00+05:30,1.306648236,-1.306648236,103333.3092,-0.01306648236
8,4/16/2015,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,4/16/2015,Thursday,8759.1,2015-04-16 09:15:00+05:30,4/17/2015,Friday,8698.75,2015-04-17 09:20:00+05:30,8596.95,2015-04-17 15:15:00+05:30,4/20/2015,Monday,8841.35,8423.2,2015-04-20 14:44:00+05:30,-2.001067855,2.001067855,105401.0789,0.02001067855
9,4/20/2015,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW < THURSDAY LOW,False,4/20/2015,Monday,8619.95,2015-04-20 09:15:00+05:30,4/22/2015,Wednesday,8449.2,2015-04-22 15:17:00+05:30,8290.9,2015-04-22 13:54:00+05:30,4/23/2015,Thursday,8759.1,8362.1,2015-04-23 13:35:00+05:30,-1.064494822,1.064494822,106523.0679,0.010644948219999999
10,4/23/2015,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,4/23/2015,Thursday,8504.95,2015-04-23 09:56:00+05:30,4/24/2015,Friday,8412.15,2015-04-24 09:15:00+05:30,8275.75,2015-04-24 15:07:00+05:30,4/27/2015,Monday,8619.95,8203.1,2015-04-27 15:29:00+05:30,-1.52931079,1.52931079,108152.1367,0.0152931079
11,4/27/2015,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW > THURSDAY LOW,True,4/27/2015,Monday,8331.4,2015-04-27 09:15:00+05:30,4/29/2015,Wednesday,8308.05,2015-04-29 13:52:00+05:30,8220.2,2015-04-29 10:43:00+05:30,4/30/2015,Thursday,8504.95,8145.0,2015-04-30 13:07:00+05:30,-0.23770442,0.23770442,108409.2191,0.0023770442
